"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.59747924597659,0.873,0.373,0,"0","SMYD4"
2.80000614143913e-278,0.898088105895456,0.983,0.67,4.18628918206565e-274,"0","TRIM22"
3.69488497630735e-246,2.6001334462053,0.366,0.068,5.52422252807712e-242,"0","LOC105373973"
2.22866311843635e-237,0.76917985674694,0.984,0.739,3.33207422837419e-233,"0","USP46"
6.55254499402519e-231,1.33824685987307,0.753,0.334,9.79671002056706e-227,"0","TRIAP1"
4.011892607737e-227,0.591148995378463,0.995,0.825,5.99818063782759e-223,"0","ARHGAP4"
4.22591226732088e-227,1.18434330779923,0.826,0.388,6.31816143087144e-223,"0","LOC107986524"
3.95127405651974e-224,1.42810058764151,0.675,0.259,5.90754984190266e-220,"0","CFAP263"
3.19791895784165e-222,1.08255306246651,0.892,0.522,4.78120863386905e-218,"0","CYP4F11"
1.21357007183664e-214,1.3940133634811,0.726,0.334,1.81440861440296e-210,"0","STIP1"
9.54336703433535e-183,0.574981788090939,0.987,0.788,1.42682880530348e-178,"0","C21orf91"
9.58695120920167e-176,1.05067551498649,0.768,0.368,1.43334507528774e-171,"0","MCOLN2"
8.72007983375346e-169,1.03821238269805,0.765,0.38,1.30373913594448e-164,"0","SYTL1"
1.56134407117356e-154,0.793888278179768,0.883,0.558,2.33436552081159e-150,"0","AHCY"
7.87698563333756e-153,0.717838290891515,0.925,0.634,1.1776881220403e-148,"0","GLOD5"
1.65973871973198e-151,1.46166322711635,0.468,0.164,2.48147535987128e-147,"0","CORO6"
5.02753794225396e-148,2.24436910405638,0.275,0.062,7.51667197746389e-144,"0","CCDC200"
1.56750151355426e-144,0.816526753432047,0.868,0.539,2.34357151291497e-140,"0","NPW"
3.01853486980226e-142,0.740182952995865,0.904,0.602,4.51301148384136e-138,"0","THBS4"
1.3551193447893e-141,1.20595563019291,0.577,0.253,2.02603893239449e-137,"0","MARK3"
5.18716728674097e-140,0.989720615810804,0.701,0.357,7.75533381040643e-136,"0","CYLD-AS2"
3.04096829080402e-137,0.81430566830211,0.843,0.526,4.5465516915811e-133,"0","PSKH1"
1.06673733668029e-136,0.672418607848346,0.906,0.645,1.5948789920707e-132,"0","ACYP2"
9.72425612241211e-135,1.181706731897,0.594,0.276,1.45387353286183e-130,"0","ZNF207"
6.21264005068625e-134,0.845769754630479,0.769,0.431,9.28851813978101e-130,"0","MBD2"
4.13289826564798e-133,0.808937242449544,0.853,0.539,6.1790961969703e-129,"0","MBD5"
4.53242937586728e-132,1.55996226338125,0.379,0.125,6.77643515985917e-128,"0","FADS3"
2.88360490778478e-131,1.44288563711135,0.45,0.171,4.31127769762903e-127,"0","PKM"
2.50061693832174e-130,1.18083971548195,0.515,0.207,3.73867238448483e-126,"0","CERS3"
5.20757509204208e-126,0.673645543321483,0.918,0.602,7.78584552011211e-122,"0","LEO1"
5.57135866928633e-125,1.03547527026877,0.616,0.296,8.32973834644999e-121,"0","RCAN2-DT"
1.97135012528154e-124,1.62223454762717,0.326,0.096,2.94736557230843e-120,"0","CLINT1"
8.86924255512932e-122,0.860658973232129,0.746,0.424,1.32604045441739e-117,"0","PRKN"
7.07122435418821e-121,0.534324088893557,0.961,0.745,1.05721875319468e-116,"0","INHBE"
1.58671410644363e-119,1.4478813401536,0.392,0.139,2.37229626054387e-115,"0","RSAD1"
5.37637906192044e-118,1.12836515417583,0.542,0.243,8.03822433547725e-114,"0","SLC10A7"
6.96226706054165e-118,1.10515605112493,0.552,0.256,1.04092854822158e-113,"0","OXA1L-DT"
1.9873768929147e-117,0.602007032226697,0.894,0.61,2.97132719259678e-113,"0","NBEAL1"
9.31973175798839e-117,1.66699828344866,0.251,0.062,1.39339309513684e-112,"0","EXOSC1"
4.99548773073353e-116,0.8308164246561,0.738,0.418,7.4687537062197e-112,"0","CNPPD1"
4.27713374086331e-115,0.726860013167141,0.825,0.509,6.39474265596473e-111,"0","TMEM115"
5.89423236603122e-115,0.712924916129017,0.839,0.529,8.81246681045328e-111,"0","RSU1"
1.95602825321472e-114,0.905744954182299,0.675,0.354,2.92445784138132e-110,"0","RIOK2"
2.01674121465336e-112,0.862422261901514,0.728,0.41,3.01522979002824e-108,"0","SCN4A"
9.46738780046258e-111,1.05397445897137,0.575,0.281,1.41546915004716e-106,"0","WARS1"
1.34518522813647e-110,1.35434890192848,0.378,0.136,2.01118643458684e-106,"0","WFDC10B"
1.64647473254838e-110,1.16868854808864,0.472,0.199,2.46164437263308e-106,"0","SLC36A1"
5.28188588691976e-110,0.870936392321319,0.693,0.393,7.89694758953373e-106,"0","PTDSS2"
1.17455945687875e-106,1.36051225408058,0.363,0.13,1.75608384397941e-102,"0","DSTN"
3.05189805953197e-105,0.871557477976435,0.685,0.376,4.56289278880624e-101,"0","BGLAP"
2.25311093780033e-104,1.1012581903733,0.492,0.223,3.36862616310528e-100,"0","CARS2"
2.4659794232572e-104,0.734617517317422,0.779,0.458,3.68688583571184e-100,"0","NAF1"
9.4690206686618e-103,0.830644073087916,0.698,0.397,1.41571328017163e-98,"0","CD58"
1.21790120578576e-102,0.850873213973076,0.673,0.384,1.82088409277029e-98,"0","CD101-AS1"
1.1094440445692e-101,0.894623644734141,0.622,0.323,1.65872979103541e-97,"0","SEC23A-AS1"
1.30449457752938e-101,0.605688125604114,0.863,0.584,1.95034984286418e-97,"0","CEP44"
1.26701680937861e-100,0.590316342837985,0.892,0.622,1.89431683170195e-96,"0","LINC01284"
2.34398950618078e-100,1.29640162777208,0.371,0.14,3.50449871069088e-96,"0","KDELR3"
7.76053815748364e-100,0.795664765117862,0.701,0.391,1.16027805992538e-95,"0","PAQR3"
1.3342087315411e-99,0.552490760172617,0.922,0.663,1.99477547452709e-95,"0","ZBED9-AS1"
5.36131922788118e-98,1.60529939391878,0.252,0.072,8.01570837760515e-94,"0","LOC112268419"
5.92866919287219e-98,0.767628775281561,0.825,0.578,8.86395331026321e-94,"0","CREG1"
8.73304325729178e-98,0.660763741992196,0.825,0.53,1.30567729739769e-93,"0","SRRM2"
